multiplier,std_time,unix_time
2.29,2024-04-13 22:19:53+00:00,1713046793
7.75,2024-04-13 22:21:34+00:00,1713046894
3.61,2024-04-13 22:22:17+00:00,1713046937
1.0,2024-04-13 22:23:17+00:00,1713046997
2.62,2024-04-13 22:23:39+00:00,1713047019
1.15,2024-04-13 22:23:47+00:00,1713047027
1.0,2024-04-13 22:24:03+00:00,1713047043
1.54,2024-04-13 22:24:37+00:00,1713047077
33.98,2024-04-13 22:25:21+00:00,1713047121
1.48,2024-04-13 22:27:09+00:00,1713047229
13.91,2024-04-13 22:27:44+00:00,1713047264
23.11,2024-04-13 22:28:07+00:00,1713047287
4.43,2024-04-13 22:28:46+00:00,1713047326
1.82,2024-04-13 22:29:16+00:00,1713047356
30.88,2024-04-13 22:30:11+00:00,1713047411
1.46,2024-04-13 22:31:26+00:00,1713047486
1.86,2024-04-13 22:32:16+00:00,1713047536
1.43,2024-04-13 22:33:24+00:00,1713047604
1.46,2024-04-13 22:33:50+00:00,1713047630
4.75,2024-04-13 22:34:17+00:00,1713047657
1.37,2024-04-13 22:34:32+00:00,1713047672
3.69,2024-04-13 22:35:08+00:00,1713047708
1.03,2024-04-13 22:35:49+00:00,1713047749
1.03,2024-04-13 22:36:42+00:00,1713047802
4.4,2024-04-13 22:37:20+00:00,1713047840
6.1,2024-04-13 22:39:21+00:00,1713047961
5.04,2024-04-13 22:39:54+00:00,1713047994
1.14,2024-04-13 22:40:31+00:00,1713048031
1.82,2024-04-13 22:41:35+00:00,1713048095
6.34,2024-04-13 22:43:52+00:00,1713048232
5.2,2024-04-13 22:44:22+00:00,1713048262
3.73,2024-04-13 22:44:48+00:00,1713048288
1.28,2024-04-13 22:45:10+00:00,1713048310
18.78,2024-04-13 22:46:02+00:00,1713048362
1.28,2024-04-13 22:47:21+00:00,1713048441
1.07,2024-04-13 22:48:29+00:00,1713048509
1.5,2024-04-13 22:48:59+00:00,1713048539
4.64,2024-04-13 22:49:34+00:00,1713048574
3.16,2024-04-13 22:50:10+00:00,1713048610
15.58,2024-04-13 22:51:00+00:00,1713048660
2.76,2024-04-13 22:51:55+00:00,1713048715
1.03,2024-04-13 22:53:20+00:00,1713048800
2.12,2024-04-13 22:53:55+00:00,1713048835
1.68,2024-04-13 22:54:01+00:00,1713048841
1.0,2024-04-13 22:54:19+00:00,1713048859
1.2,2024-04-13 22:54:36+00:00,1713048876
2.95,2024-04-13 22:55:39+00:00,1713048939
110.17,2024-04-13 22:56:49+00:00,1713049009
17.79,2024-04-13 22:57:12+00:00,1713049032
1.01,2024-04-13 22:59:03+00:00,1713049143
2.24,2024-04-13 22:59:19+00:00,1713049159
3.8,2024-04-13 22:59:51+00:00,1713049191
1.09,2024-04-13 23:00:06+00:00,1713049206
1.62,2024-04-13 23:01:30+00:00,1713049290
4.99,2024-04-13 23:02:55+00:00,1713049375
1.55,2024-04-13 23:03:54+00:00,1713049434
1.79,2024-04-13 23:04:03+00:00,1713049443
1.1,2024-04-13 23:04:36+00:00,1713049476
1.23,2024-04-13 23:04:56+00:00,1713049496
1.59,2024-04-13 23:05:03+00:00,1713049503
3.16,2024-04-13 23:06:39+00:00,1713049599
1.53,2024-04-13 23:07:18+00:00,1713049638
1.44,2024-04-13 23:08:19+00:00,1713049699
5.87,2024-04-13 23:08:56+00:00,1713049736
1.15,2024-04-13 23:09:13+00:00,1713049753
4.62,2024-04-13 23:09:49+00:00,1713049789
6.22,2024-04-13 23:10:42+00:00,1713049842
1.36,2024-04-13 23:12:08+00:00,1713049928
3.0,2024-04-13 23:13:22+00:00,1713050002
1.19,2024-04-13 23:13:41+00:00,1713050021
5.99,2024-04-13 23:14:15+00:00,1713050055
1.14,2024-04-13 23:14:48+00:00,1713050088
1.08,2024-04-13 23:15:14+00:00,1713050114
1.03,2024-04-13 23:16:13+00:00,1713050173
2.69,2024-04-13 23:17:47+00:00,1713050267
1.36,2024-04-13 23:18:56+00:00,1713050336
4.87,2024-04-13 23:19:16+00:00,1713050356
1.28,2024-04-13 23:19:55+00:00,1713050395
1.88,2024-04-13 23:20:18+00:00,1713050418
1.0,2024-04-13 23:22:25+00:00,1713050545
44.21,2024-04-13 23:24:29+00:00,1713050669
8.62,2024-04-13 23:25:23+00:00,1713050723
2.2,2024-04-13 23:27:00+00:00,1713050820
2.32,2024-04-13 23:29:01+00:00,1713050941
1.75,2024-04-13 23:29:38+00:00,1713050978
1.22,2024-04-13 23:29:56+00:00,1713050996
2.54,2024-04-13 23:30:24+00:00,1713051024
7.44,2024-04-13 23:31:46+00:00,1713051106
5.0,2024-04-13 23:33:16+00:00,1713051196
1.46,2024-04-13 23:33:44+00:00,1713051224
2.35,2024-04-13 23:34:08+00:00,1713051248
6.7,2024-04-13 23:34:45+00:00,1713051285
1.35,2024-04-13 23:35:16+00:00,1713051316
1.0,2024-04-13 23:36:15+00:00,1713051375
1.5,2024-04-13 23:37:26+00:00,1713051446
9.87,2024-04-13 23:38:03+00:00,1713051483
5.45,2024-04-13 23:38:43+00:00,1713051523
2.14,2024-04-13 23:38:48+00:00,1713051528
1.64,2024-04-13 23:39:08+00:00,1713051548
1.67,2024-04-13 23:39:30+00:00,1713051570
1.12,2024-04-13 23:39:46+00:00,1713051586
19.27,2024-04-13 23:41:46+00:00,1713051706
2.27,2024-04-13 23:42:38+00:00,1713051758
2.62,2024-04-13 23:44:01+00:00,1713051841
15.13,2024-04-13 23:44:58+00:00,1713051898
1.33,2024-04-13 23:45:32+00:00,1713051932
8.54,2024-04-13 23:47:24+00:00,1713052044
2.46,2024-04-13 23:48:45+00:00,1713052125
2.35,2024-04-13 23:49:10+00:00,1713052150
1.21,2024-04-13 23:49:31+00:00,1713052171
1.01,2024-04-13 23:49:47+00:00,1713052187
2.35,2024-04-13 23:50:18+00:00,1713052218
1.42,2024-04-13 23:51:43+00:00,1713052303
2.81,2024-04-13 23:52:37+00:00,1713052357
1.11,2024-04-13 23:53:35+00:00,1713052415
1.02,2024-04-13 23:54:03+00:00,1713052443
1.43,2024-04-13 23:54:25+00:00,1713052465
2.23,2024-04-13 23:54:51+00:00,1713052491
2.69,2024-04-13 23:55:13+00:00,1713052513
32.73,2024-04-13 23:56:16+00:00,1713052576
1.44,2024-04-13 23:56:55+00:00,1713052615
